rennen_name,datum,ort,platz,fahrer
FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,2025-05-18,Imola,2,Lando Norris
FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,2025-05-18,Imola,3,Oscar Piastri
FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,2025-05-18,Imola,4,Lewis Hamilton
FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,2025-05-18,Imola,5,Alexander Albon
FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,2025-05-18,Imola,6,Charles Leclerc
FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,2025-05-18,Imola,7,George Russell
FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,2025-05-18,Imola,8,Carlos Sainz
FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,2025-05-18,Imola,9,Isack Hadjar
FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,2025-05-18,Imola,10,Yuki Tsunoda
FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,2025-05-18,Imola,11,Fernando Alonso
FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,2025-05-18,Imola,12,Nico Hülkenberg
FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,2025-05-18,Imola,13,Pierre Gasly
FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,2025-05-18,Imola,14,Liam Lawson
FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,2025-05-18,Imola,15,Lance Stroll
FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,2025-05-18,Imola,16,Franco Colapinto
FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,2025-05-18,Imola,17,Oliver Bearman
FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,2025-05-18,Imola,18,Gabriel Bortoleto
FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,2025-05-18,Imola,0,Andrea Kimi Antonelli
FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,2025-05-18,Imola,0,Esteban Ocon
FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,2025-05-25,Monte Carlo,1,Lando Norris
FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,2025-05-25,Monte Carlo,2,Charles Leclerc
FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,2025-05-25,Monte Carlo,3,Oscar Piastri
FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,2025-05-25,Monte Carlo,4,Max Verstappen
FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,2025-05-25,Monte Carlo,5,Lewis Hamilton
FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,2025-05-25,Monte Carlo,6,Isack Hadjar
FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,2025-05-25,Monte Carlo,7,Esteban Ocon
FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,2025-05-25,Monte Carlo,8,Liam Lawson
FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,2025-05-25,Monte Carlo,9,Alexander Albon
FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,2025-05-25,Monte Carlo,10,Carlos Sainz
FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,2025-05-25,Monte Carlo,11,George Russell
FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,2025-05-25,Monte Carlo,12,Oliver Bearman
FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,2025-05-25,Monte Carlo,13,Franco Colapinto
FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,2025-05-25,Monte Carlo,14,Gabriel Bortoleto
FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,2025-05-25,Monte Carlo,15,Lance Stroll
FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,2025-05-25,Monte Carlo,16,Nico Hülkenberg
FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,2025-05-25,Monte Carlo,17,Yuki Tsunoda
FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,2025-05-25,Monte Carlo,18,Andrea Kimi Antonelli
FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,2025-05-25,Monte Carlo,0,Fernando Alonso
FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,2025-05-25,Monte Carlo,0,Pierre Gasly
FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,Barcelona,1,Oscar Piastri
FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,Barcelona,2,Lando Norris
FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,Barcelona,3,Charles Leclerc
FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,Barcelona,4,George Russell
FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,Barcelona,5,Nico Hülkenberg
